agi,agiint,agistr,agistrint,armor,classes,cooldown,corruption,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,firres,hastertng,int,lifesteal,mastrtng,mledmgmax,mledmgmin,mledps,mlespeed,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdcritstrkrtng,slotbak,socket1,socket2,socket3,speed,splpwr,sta,str,versatility
118.0,,,,,,,,59.0,,438.0,262.0,,134.77,,,,,,,438.0,262.0,134.77,2.6,Cold Forged Blade,,,,Epic,10.0,,13.0,,,,2.6,,178.0,,46.0
118.0,,,,,,,,,,303.0,181.0,,134.7,,,,,,,303.0,181.0,134.7,1.8,The Lobotomizer,,,,Epic,10.0,,13.0,,,,1.8,,178.0,,
,,,,,,,,,,5.0,3.0,,1.56,40.0,,,,,,5.0,3.0,1.56,2.6,Stung,,,,Uncommon,,,13.0,,,,2.6,,,3.0,
,,,,,,,,,,197.0,153.0,,67.36,,,30.0,689.0,,,197.0,153.0,67.36,2.6,Cold Forged Hammer,,,,Epic,10.0,,13.0,,,,2.6,,178.0,,75.0
,,,,,,,,,,473.0,227.0,,134.76,,,68.0,,,,473.0,227.0,134.76,2.6,Frostbite,,,,Epic,10.0,,13.0,,,,2.6,,178.0,118.0,36.0
,,,,,,,,,,9.0,5.0,,2.8200000000000003,55.0,,,,,,9.0,5.0,2.8200000000000003,2.6,Well Crafted Sword,,,,Uncommon,,,13.0,,,,2.6,,,5.0,
3.0,,,,,,,,,,5.0,3.0,,1.56,40.0,,,,,,5.0,3.0,1.56,2.6,Heavy Copper Longsword,,,,Uncommon,6.0,,13.0,,,,2.6,,,,
,,,,,,,,,,394.0,306.0,,134.73,,,68.0,,,,394.0,306.0,134.73,2.6,Stormstrike Hammer,,,,Epic,10.0,,13.0,,,,2.6,,178.0,118.0,36.0
118.0,,,,,,,,,,303.0,181.0,,134.7,,,,,,,303.0,181.0,134.7,1.8,Glacial Blade,,,,Epic,10.0,,13.0,,,,1.8,,178.0,,
118.0,,,,,,,,,,303.0,181.0,,134.7,,,,,,,303.0,181.0,134.7,1.8,Electrified Dagger,,,,Epic,10.0,,13.0,,,,1.8,,178.0,,
2.0,,2.0,,,,,,,,5.0,2.0,,1.5,40.0,,,,,,5.0,2.0,1.5,2.6,Brushwood Blade,,,,Uncommon,,,13.0,,,,2.6,,3.0,2.0,
,,,,,,,,3.0,,2.0,1.0,,0.73,40.0,,,10.0,,,2.0,1.0,0.73,2.6,Kobold Torch,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
3.0,,,,,,,,,,7.0,4.0,,3.08,50.0,,,,,,7.0,4.0,3.08,1.8,Dawnblade,,,,Rare,,,13.0,,,,1.8,,5.0,,
2.0,,,,,,,,1.0,,4.0,2.0,,1.76,35.0,,,,,,4.0,2.0,1.76,1.8,Talon of Vultros,,,,Rare,7.0,,13.0,,,,1.8,,,,
,,,,,,,,,,2.0,1.0,,0.64,25.0,,,,,,2.0,1.0,0.64,2.6,Death Star,,,,Uncommon,,,13.0,,,,2.6,,,,
2.0,,,,,,,,,,8.0,4.0,,2.41,50.0,,,,,,8.0,4.0,2.41,2.6,Blade of Argus,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
,,,,,,0.16666666666666666,,,,9.0,5.0,,2.8200000000000003,55.0,,,,,,9.0,5.0,2.8200000000000003,2.6,Sunwell Blade,,,,Uncommon,,,13.0,,,,2.6,,5.0,,
2.0,,,,,,,,,,7.0,5.0,,2.36,50.0,,,,,,7.0,5.0,2.36,2.6,Hort's Motivator,,,,Uncommon,,,13.0,,,,2.6,,3.0,,
2.0,,,,,,,,2.0,,5.0,2.0,,2.2,40.0,,,,,,5.0,2.0,2.2,1.8,House Wrynn Dagger,,,,Rare,,,13.0,,,,1.8,,2.0,,
,,,,,,,,,3.0,,,,,,,,,,,,,,,Coarse Sharpening Stone,,,,Common,5.0,,,,,,,,,,
2.0,,,,,,,,,,6.0,3.0,,1.8,40.0,,,,,,6.0,3.0,1.8,2.6,Pale Skinner,,,,Uncommon,7.0,,13.0,,,,2.6,,2.0,,
3.0,,,,,,,,2.0,,8.0,6.0,,2.8,55.0,,2.0,,,,8.0,6.0,2.8,2.6,Spiky Legbone,,,,Uncommon,,,13.0,,,,2.6,,4.0,,
,,,,,,0.0002777777777777778,,,,,,,,,,,,,,,,,,Minor Wizard Oil,,,,Common,5.0,,,,,,,,,,
4.0,,,,,,,,,,5.0,2.0,,2.2,35.0,,,,,,5.0,2.0,2.2,1.8,Ritual Blade,,,,Uncommon,10.0,,13.0,,,,1.8,,,,
,,,,,,,,,,7.0,4.0,,2.13,50.0,,,,,,7.0,4.0,2.13,2.6,Cutlass,,,,Common,10.0,,13.0,,,,2.6,,,,
,,,,,,,,,,5.0,3.0,,1.72,40.0,,,,,,5.0,3.0,1.72,2.6,Cranial Thumper,,,,Uncommon,7.0,,13.0,,,,2.6,,,3.0,
