agi,agiint,agistr,agistrint,arcres,armor,atkpwr,classes,cooldown,critstrkrtng,dodgertng,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
134.0,,,134.0,,73.0,,,,,,,,64.0,134.0,,,Stormpike Soldier's Cloak,,,,Epic,10.0,,16.0,,,,,200.0,134.0,,54.0
134.0,,,134.0,,73.0,,,,69.0,,,,49.0,134.0,,,Stormpike Sage's Cloak,,,,Epic,10.0,,16.0,,,,,200.0,134.0,,
134.0,,,134.0,,73.0,,,,,,,,64.0,134.0,,,Frostwolf Legionnaire's Cloak,,,,Epic,10.0,,16.0,,,,,200.0,134.0,,54.0
1.0,,,,,1.0,,,,,,,,,,,,Banner Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Demon Scarred Cloak,,,,Common,5.0,,16.0,,,,,,,,
,,,,,2.0,,,,2.0,,,,,2.0,,,Silver Embroidered Cloak,,,,Rare,,,16.0,,,,,3.0,,,
,,,,,1.0,,,,,,,,,,,,Imbued Infantry Cloak,,,,Uncommon,4.0,,16.0,,,,,,3.0,,
3.0,,,,,2.0,,,,,,,,,,,,Incorruptable Shawl,,,,Uncommon,,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,,,,Rathorian's Cape,,,,Uncommon,10.0,,16.0,,,,,3.0,,,
,,,,,2.0,,,,,,,,,2.0,,,Cloak of the Clarion Call,,,,Rare,,,16.0,,,,,3.0,,,
4.0,,,,,2.0,,,,,,,,,,,,Embossed Leather Cloak,,,,Uncommon,8.0,,16.0,,,,,,,,
134.0,,,134.0,,73.0,,,,69.0,,,,49.0,134.0,,,Frostwolf Advisor's Cloak,,,,Epic,10.0,,16.0,,,,,200.0,134.0,,
,,,,,2.0,,,,,,,,,2.0,,,Willow Cape,,,,Uncommon,10.0,,16.0,,,,,3.0,,,
,,,,,1.0,,,,,,,,,,,,Gypsy Cloak,,,,Common,6.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,2.0,,,Rain-Spotted Cape,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Handstitched Leather Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Harvest Cloak,,,,Uncommon,10.0,,16.0,,,,,,,,4.0
,,,,,2.0,,,,,,,,,,,,Tidal Cloak,,,,Uncommon,,,16.0,,,,,3.0,2.0,,
,,,,,2.0,,,,,,,,,,,,Scene Investigator's Wrap,,,,Uncommon,,,16.0,,,,,2.0,2.0,,
2.0,,,,,2.0,,,,2.0,,,,,,,,Mystic's Cape,,,,Uncommon,10.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Renzithen's Dusty Cloak,,,,Uncommon,,,16.0,,,,,3.0,,,
,,,,,1.0,,,,,,,,,3.0,,,Imbued Disciple's Cloak,,,,Uncommon,5.0,,16.0,,,,,,,,
3.0,,,,,1.0,,,,,,,,,,,,Imbued Pioneer Cloak,,,,Uncommon,4.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Cloak of the Fiery Skies,,,,Common,1.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Groff's Tarpaulin,,,,Uncommon,,,16.0,,,,,4.0,3.0,,
,,,,,2.0,,,,,,,,,,,,Soldier's Cloak,,,,Common,9.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,2.0,,,Sunscale Cloak,,,,Uncommon,,,16.0,,,,,3.0,,,
,,,,,2.0,,,,,,,,,,,,Lupine Cloak,,,,Common,8.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,3.0,,,Reinforced Linen Cape,,,,Uncommon,7.0,,16.0,,,,,,,,
2.0,,,,,2.0,,,,,,,,,,,,Flame Retardant Sheet,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Cadet Cloak,,,,Common,6.0,,16.0,,,,,,,,
