agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,3.0,,,,,75.0,,,,3.0,,,Farmhand's Vest,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,,,,,,,,,,,,,Pilgrim's Attire,,,,Uncommon,,,20.0,,,,,,,,
5.0,5.0,,10.0,,,,,95.0,,,,5.0,,,Darkmoon Chainmail,,,,Uncommon,,10.0,5.0,,,,,8.0,,,
,,,4.0,,,,,85.0,,,,4.0,,,Jessera's Fungus Lined Tunic,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,,,,,,,,,,,,,Pilgrim's Dress,,,,Uncommon,,,20.0,,,,,,,,
,,,4.0,,,,,95.0,,,,5.0,,,Darkmoon Robe,,,,Uncommon,,10.0,20.0,,,,,8.0,,,
,,,4.0,,,,,90.0,,,4.0,5.0,,,Robe of the Dragon Slayer,,,,Uncommon,,,20.0,,,,,7.0,,,
5.0,5.0,,7.0,,,,,95.0,,,,5.0,,,Darkmoon Vest,,,,Uncommon,,10.0,5.0,,,,,8.0,,,
,,,3.0,,,,,75.0,,,,,,,Journeyman's Vest,,,,Uncommon,,6.0,5.0,,,,,,,,6.0
4.0,4.0,,6.0,,,,,85.0,,,,4.0,,,Gypsy Tunic,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
,,,3.0,,,,,75.0,,,,3.0,,,Fur Covered Robe,,,,Uncommon,,,20.0,,,,,5.0,,,3.0
5.0,5.0,,10.0,,,,,95.0,,,,5.0,,,Darkmoon Breastplate,,,,Uncommon,,10.0,5.0,,,,,8.0,,,
,,,3.0,,,,,90.0,,,,3.0,,,Victor's Robes,,,,Rare,,,20.0,,,,,5.0,,,
5.0,5.0,,9.0,,,5.0,,110.0,,,,5.0,,,Azure Scale Hauberk,,,,Rare,,,5.0,,,,,8.0,,,
