agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,2.0,,,,,35.0,,,,2.0,,,Kurkenstoks,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,,,,,,,,,,,,,Pilgrim's Boots,,,,Uncommon,,,8.0,,,,,,,,
4.0,4.0,,4.0,,,3.0,,45.0,,,,4.0,,,Smart Shoes,,,,Uncommon,,,8.0,,,,,6.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Vindicator's Leather Moccasins,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Fanatical Treads,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,2.0,,,,,35.0,,,,2.0,,,Treads of the Survivor,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,2.0,,,,,35.0,,,,,,,Journeyman's Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,16.0,,0.0002777777777777778,,,,,,,,,,Medium Armor Kit,,,,Common,,5.0,,,,,,,,,
,,,2.0,,,,,40.0,,,,4.0,,,Barbaric Cloth Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
,,,8.0,,,,,35.0,,,,2.0,,,Hotfoot Boots,,,,Uncommon,,,8.0,,,,,3.0,2.0,2.0,
,,,2.0,,,,,35.0,,,,,,,Knitted Sandals,,,,Common,,5.0,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,2.0,,,Heedless Treads,,,,Uncommon,,,8.0,,,,,3.0,2.0,2.0,
,,,7.0,,,,,35.0,,,,2.0,,,Stone Cairne Boots,,,,Uncommon,,,8.0,,,,,3.0,2.0,2.0,
4.0,4.0,,4.0,,,4.0,,45.0,,,,4.0,,,Asylum Shoes,,,,Uncommon,,,8.0,,,,,6.0,,,
,,,7.0,,,,,35.0,,,,2.0,,,Cliff Running Boots,,,,Uncommon,,,8.0,,,,,3.0,2.0,2.0,
,,,7.0,,,,,35.0,,,,2.0,,,Dark Iron Hobplate Boots,,,,Uncommon,,,8.0,,,,,3.0,2.0,2.0,
4.0,4.0,,6.0,,,,,40.0,,,,4.0,,,Woodrunner's Footpads,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
,,,3.0,,,,,35.0,,,,,,,Zombie Skin Boots,,,,Common,,,8.0,,,,,,,,
3.0,3.0,,4.0,,,3.0,,50.0,,,,3.0,,,Silver Embossed Boots,,,,Rare,,,8.0,,,,,5.0,,,
,,,8.0,,,,,40.0,,,,3.0,,,Wild Bark Boots,,,,Uncommon,,,8.0,,,,,4.0,3.0,3.0,
,,,2.0,,,,,40.0,,,,3.0,,,Linen Boots,,,,Uncommon,,8.0,8.0,,,,,,,,3.0
,,,2.0,,,,,40.0,,,,3.0,,,Blade Cultist Slippers,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,1.0,,,,,30.0,,,,,,,Northshire Abbot's Shoes,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,3.0,,40.0,,,,3.0,,,Trogg-Slayer Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
2.0,2.0,,3.0,,,,,35.0,,,,2.0,,,S.B.R.B. Prototype 2,,,,Uncommon,,,8.0,,,,,2.0,,,
,,,5.0,,,,,35.0,,,,,,,Waders of Bravery,,,,Common,,1.0,8.0,,,,,,,,
4.0,4.0,,6.0,,,3.0,,45.0,,,,4.0,,,Smart Sandals,,,,Uncommon,,,8.0,,,,,6.0,,,
3.0,3.0,,4.0,,,,,45.0,,,,3.0,,,Troll Kickers,,,,Uncommon,,,8.0,,,,,5.0,,,
3.0,3.0,,6.0,,,3.0,,45.0,,,,3.0,,,Dusty Treads,,,,Uncommon,,,8.0,,,,,5.0,,,
,,,2.0,,,,,40.0,,,,4.0,,,Apprentice Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
,,,6.0,,,,,40.0,,,,,,,Brackwater Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
,,,8.0,,,,,40.0,,,,3.0,,,Vindicator's Stompers,,,,Uncommon,,,8.0,,,,,4.0,3.0,3.0,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Lendra's Cult-Stompers,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,2.0,,,,,40.0,,,,,,,Native Sandals,,,,Common,,8.0,8.0,,,,,,,,
