agi,agiint,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
1.0,,,,,,,,,,,,,,1.0,,,The 1 Ring,,,,Uncommon,10.0,,11.0,,,,,1.0,1.0,,1.0
,,,,,,,126.0,,,,,,,,,,Don Rodrigo's Band,,,,Epic,10.0,,11.0,,,,,200.0,,,243.0
,,,,,,,,,,,,297.0,,,,,Deep Rooted Ring,,,,Epic,10.0,,11.0,,,,,200.0,,,74.0
,,,,,,,223.0,,,,,148.0,,,,,Don Julio's Band,,,,Epic,10.0,,11.0,,,,,200.0,,,
,,,,,,,,,,,,,,3.0,,,Bloodfeather Ring,,,,Uncommon,,,11.0,,,,,5.0,,,
3.0,,3.0,,,,,4.0,,,,,,,,,,Signet Ring of the Hand,,,,Uncommon,,,11.0,,,,,5.0,3.0,,
3.0,,,,,,,,,,,,,,,,,Cutthroat Band,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Favor of the Dark Lady,,,,Uncommon,,,11.0,,,,,5.0,3.0,,
,,,,,,,3.0,,,,,,,,,,Slayer's Band,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Darsok's Ring,,,,Uncommon,,,11.0,,,,,5.0,3.0,,
,,,,,,,4.0,,,,,,,3.0,,,Signet Ring of the Hand,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,3.0,,,Lorna's Signet,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,3.0,,,,,,,3.0,,,Felros' Signet,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Braided Copper Ring,,,,Uncommon,10.0,,11.0,,,,,,,,2.0
,,,,,,,,,,,,,,,,,Kroum's Signet,,,,Uncommon,,,11.0,,,,,5.0,3.0,,
3.0,,,,,,,,,,,,,,,,,Sniper's Band,,,,Uncommon,,,11.0,,,,,5.0,,,
3.0,,,,,,,,,,,,,,,,,Windrunner Band,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,2.0,,,,,,,,,,Bahrum's Bad Mood Ring,,,,Uncommon,,,11.0,,,,,4.0,3.0,,
,,,,,,,,,,,,,,2.0,,,Woven Copper Ring,,,,Uncommon,10.0,,11.0,,,,,,,,
,,,,,,,3.0,,,,,,,3.0,,,Invoker's Signet,,,,Uncommon,,,11.0,,,,,5.0,,,
3.0,,,,,,,,,,,,,,,,,Tia's Ring,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,3.0,,,Detonation Ring,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,5.0,,,,,,,,,,Stendel's Wedding Band,,,,Rare,11.0,,11.0,,,,,,,,
,,,,,,,7.0,,,,,3.0,,,,,Lavishly Jeweled Ring,,,,Rare,15.0,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,4.0,,,Advisor's Ring,,,,Rare,18.0,,11.0,,,,,6.0,,,6.0
,,,,,,,,1.0,,,,,,5.0,,,Bronze Band of Force,,,,Rare,18.0,,11.0,,,,,,,,
,,,,,,,3.0,,,,,,,,,,Deep Fathom Ring,,,,Rare,16.0,,11.0,,,,,5.0,,,7.0
,,,,,,,,,,,,,,4.0,,,Lorekeeper's Ring,,,,Rare,18.0,,11.0,,,,,6.0,,,6.0
5.0,,,,,,,,,,,,,,,,,Signet of Argus,,,,Uncommon,,,11.0,,,,,7.0,,,
3.0,,,,,,,3.0,,,,,,,,,,Ello's Band,,,,Rare,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,10.0,,,Black Widow Band,,,,Uncommon,19.0,,11.0,,,,,,,,
3.0,,,,,,,,,,,,,,,,,Meadow Ring,,,,Uncommon,17.0,,11.0,,,,,5.0,,,
4.0,,,,,,,,,,,,,,,,,Protector's Band,,,,Rare,18.0,,11.0,,,,,6.0,4.0,,
4.0,,,,,,,3.0,,,,,,,,,,D-1000 Ring,,,,Rare,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Blood Ring,,,,Uncommon,19.0,,11.0,,,,,6.0,,,
,,,,,,,6.0,,,,,,,,,,Simple Pearl Ring,,,,Uncommon,17.0,,11.0,,,,,,,,
,,,,,,,,,,,,,,5.0,,,Seal of Argus,,,,Uncommon,,,11.0,,,,,7.0,,,
,,,,,,,3.0,,,,,,,,,,Demon Band,,,,Uncommon,19.0,,11.0,,,,,6.0,6.0,,
4.0,,,,,,,,,,,,,,,,,Legionnaire's Band,,,,Rare,18.0,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,,,,Tigerseye Band,,,,Uncommon,13.0,,11.0,,,,,,3.0,,
4.0,,,,,,,,,,,,,,,,,Defias Renegade Ring,,,,Uncommon,20.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,1.0,,,Black Pearl Ring,,,,Rare,17.0,,11.0,,,,,5.0,,,5.0
4.0,,,,,,,,,,,,,,,,,Prairie Ring,,,,Uncommon,20.0,,11.0,,,,,6.0,,,
,,,,,,,4.0,,,,,9.0,,,,,Ornate Silver Loop,,,,Uncommon,20.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,4.0,,,,,Band of the Eastern Strand,,,,Uncommon,,,11.0,,,,,5.0,3.0,,
,,,,,,,,,,,,7.0,,,,,Silverlaine's Family Seal,,,,Rare,16.0,,11.0,,,,,5.0,,,4.0
,,,,,,,,,,,,,,,,,Ring of the Moon,,,,Uncommon,16.0,,11.0,,,,,5.0,2.0,,
,,,,,,,,,,,,,,,,,Band of Purification,,,,Rare,18.0,,11.0,,,,,6.0,,,6.0
,,,,,,,,,6.0,,,,,,,,Hogger's Shiny,,,,Rare,,,11.0,,,,,7.0,,,
,,,,,,,,,5.0,,,,,,,,Ring of Defense,,,,Rare,17.0,,11.0,,,,,,,,1.0
5.0,,,,,,,3.0,,,,,,,,,,Ring of Precision,,,,Rare,20.0,,11.0,,,,,,,,
,,,,,,,3.0,,,,,,,,,,Bravo Company Signet,,,,Rare,,,11.0,,,,,5.0,3.0,,
,,,,,,,,,,,,,,4.0,,,Mine Sealer's Ring,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,5.0,,,,,,,,Band of Perseverance,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,7.0,,,,,,,,Signet of the Night Watch,,,,Uncommon,,,11.0,,,,,6.0,,,
4.0,,,,,,,,,,,,,,,,,Jalin's Recompense,,,,Rare,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Gloom Band,,,,Uncommon,19.0,,11.0,,,,,,,,7.0
,,,,,,,5.0,,,,,,,,,,Jittering Band,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,4.0,,,Ring of Pardons,,,,Rare,,,11.0,,,,,6.0,,,
,,,,,,,4.0,,,,,,,,,,Gorka's Band,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,3.0,,,Ebonlocke Band,,,,Uncommon,,,11.0,,,,,5.0,,,
3.0,,,,,,,,,,,,,,,,,Quartz Ring,,,,Uncommon,15.0,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,3.0,,,Lead Band,,,,Uncommon,15.0,,11.0,,,,,5.0,,,
4.0,,,,,,,,,,,,,,,,,Inlaid Malachite Ring,,,,Uncommon,15.0,,11.0,,,,,,,,
,,,,,,,,,,,,,,,,,Band of Argus,,,,Uncommon,,,11.0,,,,,7.0,5.0,,
,,,,,,,,,,,,,,4.0,,,Bombgutz Band,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Ring of the Shadow,,,,Uncommon,20.0,,11.0,,,,,,,,
,,,,,,,5.0,,,,,,,4.0,,,Yorgen's Boon,,,,Rare,,,11.0,,,,,6.0,,,
,,,,,,,,,5.0,,,,,,,,Backwatcher's Ring,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Ring of Bravery,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
4.0,,,,,,,,,,,,,,,,,Thistle Ring,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Zircon Band,,,,Uncommon,18.0,,11.0,,,,,6.0,4.0,,
,,,,,,,4.0,,,,,,,,,,Solid Bronze Ring,,,,Uncommon,17.0,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Ring of the Fool,,,,Uncommon,,,11.0,,,,,5.0,3.0,,
,,,,,,,,,,,,,,,,,Clay Ring,,,,Uncommon,17.0,,11.0,,,,,5.0,3.0,,
,,,,,,,,,,,,,,3.0,,,Elegant Silver Ring,,,,Uncommon,17.0,,11.0,,,,,,,,3.0
,,,,,,,3.0,,,,,,,3.0,,,Stillwater's Signet,,,,Rare,,,11.0,,,,,5.0,,,
3.0,,,,,,,,,,,,,,,,,Ghost Hair Band,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,5.0,,,Volcanic Rock Ring,,,,Uncommon,16.0,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Overseer's Ring,,,,Uncommon,15.0,,11.0,,,,,,6.0,,
,,,,,,,,,,,,,,,,,Cragpool Band,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,,,,Coral Band,,,,Uncommon,20.0,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,4.0,,,Viridian Band,,,,Uncommon,18.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Starry Band,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Heavy Copper Ring,,,,Uncommon,12.0,,11.0,,,,,4.0,,,
4.0,,,,,,,,,,,,,,,,,Oiler's Ring,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Heliana's Ring,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
,,,,,,,7.0,,,,,,,,,,Murloc Oppressor's Band,,,,Rare,20.0,,11.0,,,,,6.0,,,6.0
4.0,,,,,,,,,,,,,,,,,Iczelia's Band,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,9.0,,,,,4.0,,,,,Simple Golden Ring,,,,Uncommon,20.0,,11.0,,,,,6.0,,,
