agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,rgdcritstrkrtng,slotbak,socket1,socket2,socket3,speed,speedbonus,sta,str,strint,versatility
4.0,4.0,,4.0,,,,,30.0,,,,,4.0,,,,Ceremonial Leather Gloves,,,,Uncommon,,10.0,,10.0,,,,,,5.0,,,
,,,2.0,,,,,35.0,,,,,4.0,,,,Flutterer Silk Handwraps,,,,Uncommon,,,,10.0,,,,,,6.0,,,5.0
,,,3.0,,,,,30.0,,,,,,,,,Gypsy Gloves,,,,Common,,8.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,3.0,,,,Troll Handler Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,3.0
,,,2.0,,,,,25.0,,,,,,,,,Heavy Linen Gloves,,,,Uncommon,,5.0,,10.0,,,,,,,,,4.0
6.0,6.0,,5.0,,,,,30.0,,,,,6.0,,,,Veteran Gloves,,,,Uncommon,,10.0,,10.0,,,,,,,,,
,,,2.0,,,,,30.0,,,,,2.0,,,,Barbaric Cloth Gloves,,,,Uncommon,,10.0,,10.0,,,,,,5.0,,,4.0
3.0,3.0,,3.0,,,,,30.0,,,,,3.0,,,,Molotov Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
5.0,5.0,,3.0,,,,,30.0,,,,,5.0,,,,Embossed Leather Gloves,,,,Uncommon,,8.0,,10.0,,,,,,,,,
4.0,4.0,,4.0,,,,,30.0,,,,,4.0,,,,Hunting Gloves,,,,Uncommon,,10.0,,10.0,,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,,4.0,,,,Adept's Gloves,,,,Uncommon,,10.0,,10.0,,,,,,5.0,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Hatchling Handlers,,,,Uncommon,,,,10.0,,,,,,2.0,,,
4.0,4.0,,4.0,,,,,35.0,,,,,4.0,,,,Ravager Hide Gloves,,,,Uncommon,,,,10.0,,,,,,6.0,,,
