agi,agiint,arcres,armor,armorbonus,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,manargn,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,reqspell,slotbak,socket1,socket2,socket3,speed,splpwr,sta,str,strint,versatility
,,,119.0,,,,136.0,,,,,73.0,,237.0,,,,Frost Runed Headdress,,,,Epic,,10.0,,1.0,,,,,,356.0,,,
,,,6.0,,,,,,70.0,,,,,,,,,Lucky Fishing Hat,,,,Uncommon,,,,1.0,,,,,,16.0,,,
,,,,,,,,,,,,,,,,,,Blood Elf Bandit Mask,,,,Common,,5.0,,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,Lord Walden's Top Hat,,,,Common,,1.0,,1.0,,,,,,,,,
,,,,,,,,,30.0,,,,,,,,,Crown of the Fire Festival,,,,Uncommon,,,,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pilgrim's Hat,,,,Uncommon,,,,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tentacled Hat,,,,Rare,,,,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hightfish Cap,,,,Rare,,,,1.0,,,,,,,,,
3.0,,,7.0,,,,,,,,,,,,,,,Brianium Helm,,,,Uncommon,,,,1.0,,,,0.03,,7.0,,,
8.0,8.0,,8.0,,,,7.0,,85.0,,,,,8.0,,,,Rifle Commander's Eyepatch,,,,Rare,,,,1.0,,,,,,12.0,,,
8.0,8.0,,11.0,,,,7.0,,85.0,,,,,8.0,,,,Thelwater's Steelwoven Eyepatch,,,,Rare,,,,1.0,,,,,,12.0,,,
,,,,,,,,,,,,,,,,,,Keeshan's Bandana,,,,Common,,,,1.0,,,,,,,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Goldrinn Acolyte's Cowl,,,,Uncommon,,,,1.0,,,,,,12.0,,,
8.0,8.0,,7.0,,,,,,70.0,,,,,8.0,,,,Headguard of Solace,,,,Uncommon,,,,1.0,,,,,,12.0,,,10.0
,,,14.0,,,,5.0,,80.0,,,,,7.0,,,,Blackfathom Ascendant's Helm,,,,Rare,,20.0,,1.0,,,,,,10.0,7.0,7.0,5.0
,,,16.0,,,,9.0,,65.0,,,,,7.0,,,,Deep Reach Helm,,,,Uncommon,,,,1.0,,,,,,11.0,7.0,7.0,
8.0,8.0,,7.0,,,,7.0,,70.0,,,,,8.0,,,,Headguard of the Innocent,,,,Uncommon,,,,1.0,,,,,,12.0,,,
8.0,8.0,,11.0,,,,,,70.0,,,,,8.0,,,,Cowl of Solace,,,,Uncommon,,,,1.0,,,,,,12.0,,,10.0
,,,16.0,,,,,,65.0,,,,,7.0,,,,Well Oiled Helm,,,,Uncommon,,,,1.0,,,,,,11.0,7.0,7.0,
6.0,6.0,,8.0,,,,,,70.0,,,5.0,,6.0,,,,Worgen Hunter's Helm,,,,Rare,,16.0,,1.0,,,,,,9.0,,,3.0
,,,12.0,,,,3.0,,70.0,,,4.0,,6.0,,,,Snake-Charmer's Casque,,,,Rare,,16.0,,1.0,,,,,,9.0,6.0,6.0,
8.0,8.0,,11.0,,,,7.0,,70.0,,,,,8.0,,,,Helm of the Innocent,,,,Uncommon,,,,1.0,,,,,,12.0,,,
8.0,8.0,,7.0,,,,6.0,,85.0,,,,,8.0,,,,Gnomish Rebreather,,,,Rare,,24.0,,1.0,,,,,,12.0,,,5.0
9.0,9.0,,9.0,,,,,,70.0,,,,,9.0,,,,Pathfinder Hat,,,,Uncommon,,29.0,,1.0,,,,,,13.0,,,
9.0,9.0,,13.0,,,,,,70.0,,,,,9.0,,,,One-Eye Patch,,,,Uncommon,,,,1.0,,,,,,13.0,,,
,,,5.0,,,,7.0,,85.0,,,5.0,,9.0,,,,Whitemane's Embroidered Chapeau,,,,Rare,,30.0,,1.0,,,,,,13.0,,,
,,,,,,0.0004166666666666667,,,70.0,,,,,,,,,Bloodsail Admiral's Hat,,,,Uncommon,,,,1.0,,,,,,23.0,,,
,,,4.0,,,0.016666666666666666,,,85.0,,,,,8.0,,,,Electromagnetic Gigaflux Reactivator,,,,Rare,,24.0,,1.0,,,,,,12.0,,,
9.0,9.0,,9.0,,,,,,70.0,,,,,9.0,,,,Other-Eye Patch,,,,Uncommon,,,,1.0,,,,,,13.0,,,
7.0,7.0,,8.0,,,,,,85.0,,,,,7.0,,,,Enduring Cap,,,,Rare,,28.0,,1.0,,,,,,13.0,,,
10.0,10.0,,8.0,,,,,,70.0,,,,,10.0,,,,Humbert's Helm,,,,Uncommon,,25.0,,1.0,,,,,,12.0,,,
,,,5.0,,,,,,70.0,,,,,15.0,,,,Nightsky Cowl,,,,Uncommon,,30.0,,1.0,,,,,,,,,6.0
,,,4.0,,,,,,70.0,,,,,11.0,,,,Azure Silk Hood,,,,Uncommon,,24.0,,1.0,,,,,,,,,
,,,5.0,,,,,,85.0,,,,,6.0,,,,Moonsoul Crown,,,,Rare,,26.0,,1.0,,,,,,,,,15.0
9.0,9.0,,8.0,,,,,,70.0,,,,,9.0,,,,Infiltrator Cap,,,,Uncommon,,28.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,5.0,,70.0,,,,,3.0,,,,Silk Headband,,,,Uncommon,,27.0,,1.0,,,,,,,,,11.0
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Scaled Leather Headband,,,,Uncommon,,27.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,13.0,,,,Enchanter's Cowl,,,,Uncommon,,28.0,,1.0,,,,,,,,,8.0
,,,13.0,,,,,,70.0,,,,,,,,,Mail Combat Headguard,,,,Uncommon,,30.0,,1.0,,,,,,14.0,,,12.0
4.0,4.0,,12.0,,,,4.0,,85.0,,,,,4.0,,,,Frostreaver Crown,,,,Rare,,27.0,,1.0,,,,,,13.0,,,
9.0,9.0,,13.0,,,,,,85.0,,,6.0,,9.0,,,,Tusken Helm,,,,Rare,,30.0,,1.0,,,,,,14.0,,,7.0
12.0,12.0,,13.0,,,,12.0,,70.0,,,,,12.0,,,,Barbaric Iron Helm,,,,Uncommon,,30.0,,1.0,,,,,,,,,
,,,5.0,,,,,,70.0,,,,,7.0,,,,Shadow Hood,,,,Uncommon,,29.0,,1.0,,,,,,13.0,,,
,,,5.0,,Warlock,,,,70.0,,,,,10.0,,,,Dread Mage Hat,,,,Uncommon,,,,1.0,,,,,,,,,10.0
