agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,sturdiness,versatility
5.0,5.0,,6.0,,,,,70.0,,,,,5.0,,,Ghostclaw Leggings,,,,Uncommon,,,7.0,,,,,8.0,,,,
,,,3.0,,,,,60.0,,,,,,,,Ancestral Woollies,,,,Uncommon,,8.0,7.0,,,,,,,,,7.0
,,,3.0,,,,,65.0,,,,,8.0,,,Simple Kilt,,,,Uncommon,,10.0,7.0,,,,,,,,,
5.0,5.0,,5.0,,,,,60.0,,,,,5.0,,,Boarhide Leggings,,,,Uncommon,,8.0,7.0,,,,,6.0,,,,
3.0,3.0,,7.0,,,,,70.0,,,,,3.0,,,Victor's Legguards,,,,Rare,,,7.0,,,,,5.0,,,,
5.0,5.0,,5.0,,,,,65.0,,,,,5.0,,,Oblivious Leggings,,,,Uncommon,,,7.0,,,,,7.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Savage Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
4.0,4.0,,7.0,,,4.0,,65.0,,,,,4.0,,,Veteran Legguards,,,,Uncommon,,10.0,7.0,,,,,,,,,
4.0,4.0,,5.0,,,,,60.0,,,,,4.0,,,Gypsy Trousers,,,,Uncommon,,9.0,7.0,,,,,6.0,,,,
,,,3.0,,,,,65.0,,,,,4.0,,,Archaeologist's Dungarees,,,,Uncommon,,,7.0,,,,,6.0,,,,
,,,10.0,,,4.0,,60.0,,,,,3.0,,,Ironband Legguards,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
3.0,3.0,,5.0,,,,,60.0,,,,,3.0,,,Tribal Pants,,,,Uncommon,,7.0,7.0,,,,,5.0,,,,
3.0,3.0,,5.0,,,,,60.0,,,,,3.0,,,Shard-Covered Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,10.0,,,,,55.0,,,,,3.0,,,Plainstrider Leg Armor,,,,Uncommon,,,7.0,,,,,4.0,3.0,3.0,,
5.0,5.0,,5.0,,,,,65.0,,,,,5.0,,,Quick Buck Leggings,,,,Uncommon,,,7.0,,,,,7.0,,,,
3.0,3.0,,5.0,,,,,70.0,,,,,3.0,,,Igneous Leggings,,,,Rare,,,7.0,,,,,5.0,,,,
5.0,5.0,,4.0,,,,,55.0,,,,,5.0,,,Burnt Leather Breeches,,,,Uncommon,,5.0,7.0,,,,,,,,,
4.0,4.0,,8.0,,,,,65.0,,,,,4.0,,,Passenger Pantaloons,,,,Uncommon,,,7.0,,,,,6.0,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Foreman Pants,,,,Uncommon,,6.0,7.0,,,,,5.0,,,,
