agi,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,versatility
,,,,,,53.0,,,,,,,,Stormpike Sage's Pendant,,,,Epic,10.0,2.0,,,,,200.0,,318.0
,,,,,,53.0,,,,,,,,Frostwolf Advisor's Pendant,,,,Epic,10.0,2.0,,,,,200.0,,318.0
,,,,,,223.0,,,,,148.0,,,Stormpike Soldier's Pendant,,,,Epic,10.0,2.0,,,,,200.0,,
,,,,,,223.0,,,,,148.0,,,Frostwolf Legionnaire's Pendant,,,,Epic,10.0,2.0,,,,,200.0,,
3.0,,,,,,,,,,,,3.0,,Brilliant Necklace,,,,Uncommon,20.0,2.0,,,,,6.0,3.0,3.0
3.0,,,,,,,,,,,,,,Malachite Pendant,,,,Uncommon,13.0,2.0,,,,,,,
,,,,,,,,,,,,,,Thick Bronze Necklace,,,,Uncommon,17.0,2.0,,,,,5.0,,
,,,,,,4.0,,,,,,4.0,,Thal'darah's Pendant,,,,Uncommon,,2.0,,,,,6.0,,
5.0,,,,,,5.0,,,,,,,,Ambassador's Amulet,,,,Rare,,2.0,,,,,7.0,,
6.0,,,,,,,,,,,,,,Scout's Medallion,,,,Rare,18.0,2.0,,,,,6.0,,
6.0,,,,,,,,,,,,,,Sentinel's Medallion,,,,Rare,18.0,2.0,,,,,6.0,,
,,,,,,,,,,,,,,Ornate Tigerseye Necklace,,,,Uncommon,15.0,2.0,,,,,,,4.0
5.0,,,,,,5.0,,,,,,,,Orthus' Amulet,,,,Rare,,2.0,,,,,7.0,,
,,,,,,4.0,,,,,,4.0,,Overlord's Favor,,,,Uncommon,,2.0,,,,,6.0,,
4.0,,,,,,,,,,,,,,Amulet of Shrill Screams,,,,Uncommon,,2.0,,,,,6.0,,
,,,,,,,,,,,8.0,,,Hook Charm Necklace,,,,Rare,20.0,2.0,,,,,6.0,,4.0
,,,,,,,,,,,,,,Northwatch Amulet,,,,Uncommon,,2.0,,,,,6.0,4.0,
4.0,,,,,,,,,,,,,,Spy-Mistress' Necklace,,,,Uncommon,,2.0,,,,,6.0,,
,,,,,,,,,,,4.0,,,Pendant of Good Fortune,,,,Uncommon,20.0,2.0,,,,,6.0,,9.0
,,,,,,,,,,,,,,Crawling Amulet,,,,Uncommon,,2.0,,,,,7.0,5.0,
,,,,,,8.0,,,,,3.0,,,Hematite Tortoise Pendant,,,,Rare,16.0,2.0,,,,,5.0,,
,,,,,0.0004166666666666667,,,9.0,,,,,,Pendant of the Agate Shield,,,,Uncommon,26.0,2.0,,,,,7.0,6.0,
,,,,,,,,,,,,,,Pendant of Myzrael,,,,Uncommon,30.0,2.0,,,,,8.0,,8.0
,,,,,,,,,,,,,,River Pride Choker,,,,Rare,28.0,2.0,,,,,7.0,4.0,
4.0,,,,,,,,,,,,4.0,,Kaleidoscope Chain,,,,Rare,30.0,2.0,,,,,8.0,4.0,4.0
7.0,,,,,,,,,,,,,,Scout's Medallion,,,,Rare,28.0,2.0,,,,,7.0,,
,,,,,,10.0,,,,,,,,Amulet of Truesight,,,,Rare,29.0,2.0,,,,,,,
,,,,,,,,,,,,6.0,,Crystal Starfire Medallion,,,,Uncommon,26.0,2.0,,,,,7.0,,5.0
5.0,,,,,,,,,,,,,,Darkmoon Pendant,,,,Rare,30.0,2.0,,,,,8.0,,
7.0,,,,,,,,,,,,,,Sentinel's Medallion,,,,Rare,28.0,2.0,,,,,7.0,,
