agi,armor,classes,cooldown,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,hastertng,int,lifesteal,mastrtng,name_enus,natres,nsockets,pvppower,quality,reqlevel,rgdatkpwr,rgdcritstrkrtng,rgddmgmax,rgddmgmin,rgddps,rgdspeed,slotbak,socket1,socket2,speed,sta,str,versatility
,,,0.0002777777777777778,,2.0,,,,,,,,,,Standard Scope,,,,Common,10.0,,,,,,,,,,,,,
,,,,64.0,,168.0,101.0,,67.27,,,689.0,,,Wand of Biting Cold,,,,Epic,10.0,,,,,,,26.0,,,2.0,178.0,,41.0
237.0,,,,151.0,,643.0,428.0,,178.56,120.0,,,,,Bloodseeker,,,,Epic,10.0,,,643.0,428.0,178.56,3.0,26.0,,,3.0,356.0,,60.0
,,,,,,2.0,1.0,,0.77,40.0,,10.0,,,Lesser Magic Wand,,,,Uncommon,5.0,,,,,,,26.0,,,2.0,2.0,,
7.0,,,,,,14.0,10.0,,4.04,80.0,,,,,Farstrider's Longbow,,,,Rare,,,,14.0,10.0,4.04,3.0,15.0,,,3.0,7.0,,
5.0,,,,,,7.0,3.0,,1.77,40.0,,,,,Cry of the Wolf,,,,Uncommon,,,,7.0,3.0,1.77,3.0,26.0,,,3.0,,,
,,,,,,2.0,1.0,,0.8,40.0,,10.0,,,Nub's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
,,,,,,2.0,1.0,,0.8300000000000001,40.0,,10.0,,,Fire Wand,,,,Uncommon,7.0,,,,,,,26.0,,,2.0,2.0,,
,,,0.0002777777777777778,,,,,,,,,,,,Minor Wizard Oil,,,,Common,5.0,,,,,,,,,,,,,
8.0,,,,,,11.0,7.0,,3.06,55.0,,,,,Hand of Argus Crossfire,,,,Uncommon,,,,11.0,7.0,3.06,3.0,26.0,,,3.0,8.0,,
,,,,,,2.0,1.0,,0.85,45.0,,10.0,,,Stillpine Shocker,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
3.0,,,,,,7.0,5.0,,2.06,45.0,,,,,Hunting Bow,,,,Uncommon,6.0,,,7.0,5.0,2.06,3.0,15.0,,,3.0,5.0,,
6.0,,,,,,8.0,5.0,,2.25,50.0,,,,,Arugoo's Crossbow of Destruction,,,,Uncommon,,,,8.0,5.0,2.25,3.0,26.0,,,3.0,,,
5.0,,,,5.0,,13.0,9.0,,3.71,45.0,,,,,Blackwood Hunter's Bow,,,,Uncommon,,,,13.0,9.0,3.71,3.0,15.0,,,3.0,5.0,,
,,,,,,2.0,1.0,,0.8300000000000001,30.0,,10.0,,,Star Shooter,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
9.0,,,,,,12.0,7.0,,3.3,60.0,,,,,Huntsman's Crossbow,,,,Uncommon,,,,12.0,7.0,3.3,3.0,26.0,,,3.0,,,
,,,,,,3.0,1.0,,1.13,45.0,,12.0,,,Shadow Wand,,,,Uncommon,9.0,,,,,,,26.0,,,2.0,3.0,,
5.0,,,,,,7.0,4.0,,1.93,45.0,,,,,Marshal's Light Crossbow,,,,Uncommon,,,,7.0,4.0,1.93,3.0,26.0,,,3.0,,,
,,,,,,4.0,2.0,,1.54,55.0,,16.0,,,Ley-Keeper's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,4.0,,
,,,,,,3.0,2.0,,0.89,40.0,,,,,Cracked Shortbow,,,,Poor,3.0,,,3.0,2.0,0.89,3.0,15.0,,,3.0,,,
4.0,,,,4.0,,10.0,6.0,,2.8200000000000003,65.0,,,,,House Wrynn Crossbow,,,,Rare,,,,10.0,6.0,2.8200000000000003,3.0,26.0,,,3.0,4.0,,
,,,,,,2.0,1.0,,0.8300000000000001,30.0,,10.0,,,Stillpine Stinger,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
6.0,,,,,,7.0,5.0,,2.06,45.0,,,,,Quel'Thalas Recurve,,,,Uncommon,,,,7.0,5.0,2.06,3.0,15.0,,,3.0,,,
3.0,,,,,,7.0,4.0,,1.84,45.0,,,,,Rough Boomstick,,,,Uncommon,5.0,,,7.0,4.0,1.84,3.0,26.0,,,3.0,4.0,,
6.0,,,,,,12.0,8.0,,3.38,60.0,,,,,Shrewd Crossbow,,,,Uncommon,,,,12.0,8.0,3.38,3.0,26.0,,,3.0,6.0,,
6.0,,,,,,7.0,5.0,,2.06,45.0,,,,,Ashwood Bow,,,,Uncommon,,,,7.0,5.0,2.06,3.0,15.0,,,3.0,,,
,,,,,,6.0,3.0,,1.58,40.0,,,,,Ornate Blunderbuss,,,,Common,4.0,,,6.0,3.0,1.58,3.0,26.0,,,3.0,,,
5.0,,,,,,14.0,9.0,,3.87,65.0,,,,,Crossbow of the Hand,,,,Uncommon,,,,14.0,9.0,3.87,3.0,26.0,,,3.0,8.0,,
7.0,,,,,,13.0,7.0,,3.37,60.0,,,,,Sputtervalve Gun,,,,Uncommon,,,,13.0,7.0,3.37,3.0,26.0,,,3.0,5.0,,
8.0,,,,,,10.0,7.0,,2.89,55.0,,,,,Night Elven Bow,,,,Uncommon,,,,10.0,7.0,2.89,3.0,15.0,,,3.0,,,
8.0,,,,,,10.0,7.0,,2.89,55.0,,,,,Darkshore Bow,,,,Uncommon,,,,10.0,7.0,2.89,3.0,15.0,,,3.0,,,
,,,,,1.0,,,,,,,,,,Crude Scope,,,,Common,5.0,,,,,,,,,,,,,
4.0,,,,,,10.0,5.0,,2.54,50.0,,,,,Compact Shotgun,,,,Uncommon,8.0,,,10.0,5.0,2.54,3.0,26.0,,,3.0,6.0,,
,,,,,,6.0,3.0,,1.52,50.0,,,,,Cheap Blunderbuss,,,,Poor,8.0,,,6.0,3.0,1.52,3.0,26.0,,,3.0,,,
,,,,,,3.0,1.0,,0.76,30.0,,,,,Skyrocket Gun,,,,Common,,,,3.0,1.0,0.76,3.0,26.0,,,3.0,,,
,,,,3.0,,4.0,2.0,,1.54,65.0,,16.0,,,Suppressor's Wand,,,,Rare,,,,,,,,26.0,,,2.0,4.0,,
,,,,3.0,,4.0,2.0,,1.54,65.0,,16.0,,,Wind Rider Wand,,,,Rare,,,,,,,,26.0,,,2.0,4.0,,
5.0,,,,5.0,,13.0,6.0,,3.31,70.0,,,,,Bedlam Gun,,,,Rare,,,,13.0,6.0,3.31,3.0,26.0,,,3.0,5.0,,
