agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,holres,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
178.0,178.0,,273.0,,,,,,,,75.0,,,178.0,,Winteraxe Epaulets,,,,Epic,,10.0,3.0,,,,,267.0,,,82.0
5.0,5.0,,6.0,,,,,80.0,,,,,,5.0,,Cloaked Shoulderpads,,,,Rare,,20.0,3.0,,,,,8.0,,,
,,,4.0,,,,,80.0,,,,,,5.0,,Darkcloth Shoulders,,,,Rare,,20.0,3.0,,,,,8.0,,,
5.0,5.0,,9.0,,,,,80.0,,,,,,5.0,,Veiled Pauldrons,,,,Rare,,20.0,3.0,,,,,8.0,,,
4.0,4.0,,5.0,,,3.0,,70.0,,,3.0,,,4.0,,Serpent's Shoulders,,,,Rare,,16.0,3.0,,,,,6.0,,,
6.0,6.0,,7.0,,,,,70.0,,,,,,6.0,,Brood-Killer Shoulderguard,,,,Uncommon,,,3.0,,,,,9.0,,,
,,,3.0,,,,,70.0,,,2.0,,,4.0,,Feline Mantle,,,,Rare,,16.0,3.0,,,,,6.0,,,3.0
5.0,5.0,,9.0,,,,,80.0,,,,,,5.0,,Azure Shoulderguards,,,,Rare,,20.0,3.0,,,,,8.0,,,
5.0,5.0,,9.0,,,,,65.0,,,,,,5.0,,Grunt's Pauldrons,,,,Uncommon,,20.0,3.0,,,,,8.0,,,
,,,11.0,,,,,70.0,,,,,,4.0,,Cleansed Pauldrons,,,,Rare,,,3.0,,,,,6.0,4.0,4.0,4.0
,,,4.0,,,,,70.0,,,,,,6.0,,Faerie Mantle,,,,Uncommon,,,3.0,,,,,9.0,,,8.0
5.0,5.0,,8.0,,,,,60.0,,,,,,5.0,,Rough Bronze Shoulders,,,,Uncommon,,17.0,3.0,,,,,6.0,,,
6.0,6.0,,10.0,,,,,70.0,,,,,,6.0,,Brood-Killer Amice,,,,Uncommon,,,3.0,,,,,9.0,,,
,,,11.0,,,4.0,,70.0,,,,,,4.0,,Packleader's Pauldrons,,,,Rare,,,3.0,,,,,6.0,4.0,4.0,
,,,4.0,,,,,80.0,,,,,,4.0,,Magician's Mantle,,,,Rare,,20.0,3.0,,,,,8.0,,,
4.0,4.0,,5.0,,,,,70.0,,,3.0,,,4.0,,Rugged Spaulders,,,,Rare,,16.0,3.0,,,,,6.0,,,2.0
,,,3.0,,,,,60.0,,,,,,,,Double-Stitched Woolen Shoulders,,,,Uncommon,,17.0,3.0,,,,,6.0,,,
,,,4.0,,,,,55.0,,,,,,,,Patched Leather Shoulderpads,,,,Poor,,15.0,3.0,,,,,,,,
,,,13.0,,,4.0,,80.0,,,,,,5.0,,Khaz Modan Pauldrons,,,,Rare,,,3.0,,,,,8.0,5.0,5.0,
,,,5.0,,,,,60.0,,,,,,,,Scouting Spaulders,,,,Common,,18.0,3.0,,,,,,,,
