agi,agiint,agistr,agistrint,arcres,armorbonus,avoidance,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,pvppower,quality,reqlevel,reqspell,resirtng,slotbak,socket1,socket2,socket3,speed,speedbonus,spi,splpwr,sta,str,versatility
,,,,,,,,,,,,,,,,,,,Hook of the Master Angler,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Rune of Duty,,,,,Rare,20.0,,,12.0,,,,,,,,4.0,,
,,,,,,,,,4.0,,,,,,,,,,Rainbow Generator,,,,,Uncommon,,,,12.0,,,,0.01,,,,5.0,,
,,,,,,,,,10.0,,,,,,,,,,Rune of Perfection,,,,,Rare,20.0,,,12.0,,,,,,,,4.0,,
7.0,,,7.0,,,,,,7.0,,,,,,,7.0,,,Illuminated Charm,,,,,Uncommon,20.0,,,12.0,,,,,,,,,7.0,
7.0,,,7.0,,,,,,,,,,,,,7.0,,,Graven Keepsake,,,,,Uncommon,20.0,,,12.0,,,,,,,,,7.0,7.0
,,,,,,,,0.25,,,,,,,,,,,Arena Grand Master,,,,,Rare,,,,12.0,,,,,,,,11.0,,
,,,,,,,,,,,,,,,,,,,Arena Master,,,,,Uncommon,30.0,,,12.0,,,,,,,,6.0,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Mechanical Dragonling,,,,,Uncommon,30.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,14.0,,,,,,,,Smotts' Compass,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.16666666666666666,,,,,,,,,,,Dog Whistle,,,,,Rare,29.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Defiler's Talisman,,,,,Rare,28.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Talisman of Arathor,,,,,Rare,28.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,9.0,,,,,,,,,,Flashing Steel Talisman,,,,,Rare,30.0,,,12.0,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,6.0,,,Philosopher's Stone,,,,,Uncommon,35.0,,,12.0,,,,,,,,6.0,6.0,6.0
,,,,,,,,0.25,,,,,,,,,,,Tidal Charm,,,,,Uncommon,36.0,,,12.0,,,,,,,,,,
,,,,,,,,0.16666666666666666,,,,,,,,,,,Rhea's Last Egg,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,22.0,,,Power of the High Chief,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.16666666666666666,,,,,,,,,,,Defender of the Timbermaw,,,,,Epic,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Horn of the Traitor,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.5,,,,,,,,,,,Evonice's Landin' Pilla,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Gus' First Aid Kit,,,,,Uncommon,,,,12.0,,,,,,,,8.0,8.0,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Figurine - Black Pearl Panther,,,,,Uncommon,38.0,,,12.0,,,,,,,,,,
15.0,,15.0,,,,,,,,,,,,,,,,,Strength of the High Chief,,,,,Rare,,,,12.0,,,,,,,,,15.0,
,,,,,,,,0.16666666666666666,,,,,,,,8.0,,,Tosselwrench's Shrinker,,,,,Uncommon,,,,12.0,,,,,,,,8.0,,
11.0,,,,,,,,0.25,11.0,,,,,,,,,,Toy Windmill,,,,,Rare,,,,12.0,,,,,,,,11.0,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Mithril Mechanical Dragonling,,,,,Uncommon,40.0,,,12.0,,,,,,,,,,
,,,,,,,,0.3333333333333333,,,,,,,,,,,Figurine - Golden Hare,,,,,Uncommon,35.0,,,12.0,,,,,,,,,,
,,,,,,,,0.16666666666666666,,,,13.0,,,,,,,Blazing Emblem,,,,,Rare,38.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Ankh of Life,,,,,Rare,40.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Defiler's Talisman,,,,,Rare,38.0,,,12.0,,,,,,,,,,
11.0,,,11.0,,,,,,,,,,,,,11.0,,,Mindtap Talisman,,,,,Rare,40.0,,,12.0,,,,,,,,,11.0,11.0
,,,,,,,,0.08333333333333333,,,,,,,,,,,Ancient Seed Casing,,,,,Uncommon,,,,12.0,,,,,,,,12.0,,
11.0,,,11.0,,,,,,,,,,,11.0,,11.0,,,Vigilance Charm,,,,,Rare,40.0,,,12.0,,,,,,,,,11.0,
,,,,,,,,0.03333333333333333,11.0,,,,,,,,,,Devourer's Stomach,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Cold Basilisk Eye,,,,,Uncommon,35.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,,,,,,,,8.0,,,Chelsea's Nightmare,,,,,Uncommon,,,,12.0,,,,,,,,8.0,,
,,,,,,,Warlock,,,,,,,,,,,,Pimgib's Collar,,,,,Rare,40.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Horn of the Traitor,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Underlord's Mandible,,,,,Uncommon,,,,12.0,,,,,,,,11.0,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Dying Breath,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Rune of Duty,,,,,Rare,40.0,,,12.0,,,,,,,,6.0,,
,,,,,,,,0.05,,,,,,,,,,,Talisman of Arathor,,,,,Rare,38.0,,,12.0,,,,,,,,,,
,,,,,,,,,11.0,,,,,,,,,,Searing Words,,,,,Rare,39.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Heart of Noxxion,,,,,Rare,32.0,,,12.0,,,,,,,,9.0,,9.0
,,,,,,,,0.03333333333333333,,,,,,,,,,,Light's Embrace,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,11.0,,,,,,,,Figurine - Truesilver Crab,,,,,Uncommon,40.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,11.0,,,Price of Progress,,,,,Rare,39.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,11.0,,,,,,,,,,Omarion's Gift,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Lunk's Special Gear,,,,,Uncommon,,,,12.0,,,,,,,,13.0,,
,,,,,,,,,18.0,,,,,,,,,,Rune of Perfection,,,,,Rare,40.0,,,12.0,,,,,,,,6.0,,
,,,,,,,,0.03333333333333333,,,,,,11.0,,,,,Lessons of the Darkmaster,,,,,Rare,39.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,4.0,,,Figurine - Jade Owl,,,,,Uncommon,35.0,,,12.0,,,,,,,,,,3.0
,,,,,,,,0.03333333333333333,,,,,,11.0,,,,,Emissary's Watch,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Arcanite Dragonling,,,,,Rare,50.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Uther's Strength,,,,,Rare,47.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Six Demon Bag,,,,,Rare,46.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Cannonball Runner,,,,,Rare,42.0,,,12.0,,,,,,,,,,12.0
