agi,agiint,agistr,agistrint,arcres,armor,classes,cooldown,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,firres,frores,hastertng,int,lifesteal,mastrtng,mledmgmax,mledmgmin,mledps,mlespeed,name_enus,natres,nsockets,parryrtng,pvppower,quality,reqlevel,slotbak,socket1,socket2,socket3,speed,splcritstrkrtng,splpwr,sta,str,versatility
,,,,,,,,151.0,,723.0,562.0,,178.5,,,,60.0,,,,723.0,562.0,178.5,3.6,The Unstoppable Force,,,,,Epic,10.0,17.0,,,,3.6,,,356.0,237.0,
237.0,,237.0,,,,,,123.0,,835.0,449.0,,178.44,120.0,,,,,,,835.0,449.0,178.44,3.6,Ice Barbed Spear,,,,,Epic,10.0,17.0,,,,3.6,,,356.0,237.0,87.0
,,,,,,,,,,3.0,2.0,,0.7000000000000001,30.0,,,,,,,3.0,2.0,0.7000000000000001,3.6,Very Light Sabre,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,78.0,,369.0,273.0,,89.18,,,,132.0,1054.0,,,369.0,273.0,89.18,3.6,Whiteout Staff,,,,,Epic,10.0,17.0,,,,3.6,,,356.0,,
,,,,,,,,,,18.0,10.0,,4.01,80.0,,,,,,,18.0,10.0,4.01,3.6,Sin'dorei Warblade,,,,,Rare,,17.0,,,,3.6,,,4.0,10.0,
,,,,,,,,78.0,,369.0,273.0,,89.18,,,,132.0,1054.0,,,369.0,273.0,89.18,3.6,Crackling Staff,,,,,Epic,10.0,17.0,,,,3.6,,,356.0,,
,,,,,,,,,,2.0,1.0,,0.56,16.0,,,,,,,2.0,1.0,0.56,3.0,Fishing Pole,,,,,Common,,17.0,,,,3.0,,,,,
,,,,,,,,,,10.0,6.0,,2.8200000000000003,40.0,,,,,,,10.0,6.0,2.8200000000000003,3.0,Ephemeral Fishing Pole,,,,,Rare,,17.0,,,,3.0,,,,,
,,,,,,,,,,8.0,6.0,,1.97,80.0,,,,26.0,,,8.0,6.0,1.97,3.6,Staff of the Sun,,,,,Rare,,17.0,,,,3.6,,,9.0,,4.0
,,,,,,,,,,6.0,4.0,,1.42,50.0,,,,,,,6.0,4.0,1.42,3.6,Rough Wooden Staff,,,,,Poor,7.0,17.0,,,,3.6,,,,,
