agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,6.0,,,,,25.0,,,,,,,Copper Plate Belt,,,,Common,,6.0,6.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Captain Sanders' Sash,,,,Uncommon,,,6.0,,,,,5.0,,,4.0
,,,306.0,,,89.0,,,,43.0,68.0,178.0,,,Stormpike Plate Girdle,,,,Epic,,10.0,6.0,,,,,267.0,178.0,178.0,
,,,2.0,,,,,30.0,,,,3.0,,,Aboriginal Sash,,,,Uncommon,,10.0,6.0,,,,,5.0,,,
178.0,178.0,,205.0,,,112.0,,,,43.0,,178.0,,,Stormpike Mail Girdle,,,,Epic,,10.0,6.0,,,,,267.0,,,45.0
178.0,178.0,,140.0,,,62.0,,,,43.0,96.0,178.0,,,Stormpike Leather Girdle,,,,Epic,,10.0,6.0,,,,,267.0,,,
,,,3.0,,,,,20.0,,,,,,,Partially Tarnished Chain,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,35.0,,,,4.0,,,Cincture of Woven Reeds,,,,Uncommon,,,6.0,,,,,6.0,,,
,,,7.0,,,,,25.0,,,,3.0,,,Skull Rock Belt,,,,Uncommon,,,6.0,,,,,4.0,3.0,3.0,
,,,4.0,,,,,30.0,,,,,,,Veteran Girdle,,,,Common,,9.0,6.0,,,,,,,,
,,,7.0,,,3.0,,35.0,,,,3.0,,,Silver Plated Belt,,,,Rare,,,6.0,,,,,5.0,3.0,3.0,
,,,6.0,,,,,25.0,,,,2.0,,,Thistle Bear Girdle,,,,Uncommon,,,6.0,,,,,3.0,2.0,2.0,
,,,2.0,,,,,25.0,,,,2.0,,,Crime Scene Tape,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,6.0,,,,,25.0,,,,2.0,,,Gol'Bolar Miner's Belt,,,,Uncommon,,,6.0,,,,,3.0,2.0,2.0,
,,,82.0,,,,,,,43.0,85.0,178.0,,,Stormpike Cloth Girdle,,,,Epic,,10.0,6.0,,,,,267.0,,,72.0
,,,3.0,,,,,20.0,,,,,,,Wrangler's Chain Cinch,,,,Common,,,6.0,,,,,,,,
,,,82.0,,,,,,,43.0,85.0,178.0,,,Frostwolf Cloth Belt,,,,Epic,,10.0,6.0,,,,,267.0,,,72.0
4.0,4.0,,4.0,,,,,35.0,,,,4.0,,,Ornately Tooled Belt,,,,Uncommon,,,6.0,,,,,6.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Kessel's Sweat Stained Elekk Leash,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Bard's Belt,,,,Uncommon,,10.0,6.0,,,,,5.0,,,
,,,4.0,,,,,30.0,,,,,,,Brackwater Girdle,,,,Common,,9.0,6.0,,,,,,,,
,,,7.0,,,,,25.0,,,,3.0,,,Tightly Cinched Belt,,,,Uncommon,,,6.0,,,,,4.0,3.0,3.0,
,,,3.0,,,,,25.0,,,,,,,Handstitched Leather Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,2.0,,,Red Linen Sash,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,306.0,,,89.0,,,,43.0,68.0,178.0,,,Frostwolf Plate Belt,,,,Epic,,10.0,6.0,,,,,267.0,178.0,178.0,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Diplomatic Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,3.0,,,3.0,,30.0,,,,3.0,,,Irregular Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Mortar-Slinger Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,7.0,,,,,25.0,,,,3.0,,,Steel Thunder Belt,,,,Uncommon,,,6.0,,,,,4.0,3.0,3.0,
,,,7.0,,,,,25.0,,,,3.0,,,Mountaineer's Belt,,,,Uncommon,,,6.0,,,,,4.0,3.0,3.0,
178.0,178.0,,205.0,,,112.0,,,,43.0,,178.0,,,Frostwolf Mail Belt,,,,Epic,,10.0,6.0,,,,,267.0,,,45.0
,,,2.0,,,,,30.0,,,,,,,Barbaric Cloth Belt,,,,Common,,9.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,3.0,,,Bloodeye Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,25.0,,,,3.0,,,Pigman Waistband,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,2.0,,,Dirtwood Belt,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,4.0,,,Imbued Disciple's Sash,,,,Uncommon,,5.0,6.0,,,,,,,,
,,,6.0,,,,,25.0,,,,2.0,,,Reinforced Plate Belt,,,,Uncommon,,,6.0,,,,,3.0,2.0,2.0,
4.0,4.0,,4.0,,,,,25.0,,,,4.0,,,Imbued Infantry Belt,,,,Uncommon,,5.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Gritroot Cinch,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Quickening Cinch,,,,Common,,,6.0,,,,,,,,
178.0,178.0,,140.0,,,62.0,,,,43.0,96.0,178.0,,,Frostwolf Leather Belt,,,,Epic,,10.0,6.0,,,,,267.0,,,
4.0,4.0,,5.0,,,,,35.0,,,,4.0,,,Cord of the Ancient Horn,,,,Uncommon,,,6.0,,,,,6.0,,,5.0
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Wildkin Feather Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
,,,3.0,,,,,25.0,,,,,,,Grizzly Belt,,,,Common,,6.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Linen Belt,,,,Common,,4.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Warrior's Girdle,,,,Common,,3.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Frostmane Chain Links,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Acceleration Belt,,,,Common,,,6.0,,,,,,,,
6.0,6.0,,3.0,,,,,30.0,,,,6.0,,,Wendigo Collar,,,,Uncommon,,10.0,6.0,,,,,,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Farstrider's Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,3.0,,,Laborer's Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,2.0,,,Thick Ravager Belt,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,4.0,,,,,25.0,,,,,,,Infantry Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Pioneer Belt,,,,Common,,5.0,6.0,,,,,,,,
4.0,4.0,,3.0,,,,,25.0,,,,4.0,,,Imbued Pioneer Belt,,,,Uncommon,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Beaded Cord,,,,Common,,4.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Foul Gnoll Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Sunwalker's Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,30.0,,,,3.0,,,Kessel's Cinch Wrap,,,,Uncommon,,,6.0,,,,,5.0,,,
,,,4.0,,,,,30.0,,,,,,,War Torn Girdle,,,,Common,,8.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,2.0,,,Belt of Dark Schemes,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,3.0,,,,,25.0,,,,,,,Tribal Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Woven Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,5.0,,,,,25.0,,,,,,,Vile Fin Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Sunspire Cord,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Blackened Leather Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Thorned Cinch,,,,Common,,,6.0,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,Stormwind Infantry Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Runner's Belt,,,,Common,,,6.0,,,,,,,,
4.0,4.0,,4.0,,,,,35.0,,,,4.0,,,Strap of the Ancient Horn,,,,Uncommon,,,6.0,,,,,6.0,,,5.0
4.0,4.0,,4.0,,,4.0,,40.0,,,,4.0,,,Belt of Beginnings,,,,Rare,,,6.0,,,,,6.0,,,
4.0,4.0,,5.0,,,,,35.0,,,,4.0,,,Ornate Wire Cinch,,,,Uncommon,,,6.0,,,,,6.0,,,
,,,2.0,,,4.0,,30.0,,,,4.0,,,Joanna's Sash,,,,Uncommon,,,6.0,,,,,6.0,,,
,,,2.0,,,4.0,,30.0,,,,4.0,,,Wisp-Chaser Cord,,,,Uncommon,,,6.0,,,,,6.0,,,
4.0,4.0,,5.0,,,5.0,,30.0,,,,4.0,,,Marauding Cord,,,,Uncommon,,,6.0,,,,,6.0,,,
,,,2.0,,,3.0,,30.0,,,,3.0,,,Painstakingly Crafted Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
4.0,4.0,,5.0,,,,,30.0,,,,4.0,,,Silver Defias Belt,,,,Uncommon,,10.0,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Bloodspattered Sash,,,,Uncommon,,10.0,6.0,,,,,5.0,,,
,,,7.0,,,,,30.0,,,,3.0,,,Korok's Ring,,,,Uncommon,,,6.0,,,,,5.0,3.0,3.0,
,,,7.0,,,,,30.0,,,,3.0,,,Rusted Plate Girdle,,,,Uncommon,,,6.0,,,,,5.0,3.0,3.0,
,,,2.0,,,,,30.0,,,,,,,Calico Belt,,,,Poor,,9.0,6.0,,,,,,,,
3.0,3.0,,4.0,,,,,30.0,,,,3.0,,,Chewed Chain Cord,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,,,,Simple Cord,,,,Common,,7.0,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Gypsy Sash,,,,Common,,7.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,3.0,,,Standard Issue Airborne Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,4.0,,,,,25.0,,,,,,,Worn Mail Belt,,,,Poor,,7.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Light Chain Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Battle Chain Girdle,,,,Common,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Ancestral Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Disciple's Sash,,,,Common,,5.0,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Sturdy Leather Belt,,,,Common,,,6.0,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,2.0,,,Rescue Ladder Cord,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,4.0,,,,,25.0,,,,,,,Charger's Belt,,,,Common,,4.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Waistguard of Brill,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Loose Chain Belt,,,,Poor,,3.0,6.0,,,,,,,,
,,,1.0,,,,,25.0,,,,,,,Cord of Grieving,,,,Common,,1.0,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Mountaineer's Waistguard,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Unmarred Chain,,,,Common,,1.0,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Unmarred Cord,,,,Common,,1.0,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Outrider Belt,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Unmarred Belt,,,,Common,,1.0,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Green Plate Belt,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Free Body Belt,,,,Common,,,6.0,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,Cracking Whip,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Thorned Links,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Northshire Abbot's Cinch,,,,Common,,,6.0,,,,,,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Wildkin Feathered Links,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,3.0,,30.0,,,,3.0,,,Slightly Dented Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,3.0,,,Belt of the Second Head,,,,Uncommon,,,6.0,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,3.0,,,Ranger's Sash,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Farstrider's Chain,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Forsaken Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,3.0,,,,,30.0,,,,,,,Warped Leather Belt,,,,Poor,,9.0,6.0,,,,,,,,
3.0,3.0,,4.0,,,,,30.0,,,,3.0,,,Cord of the Sepulcher,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Chewed Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,2.0,,,,,30.0,,,,,,,Spellbinder Belt,,,,Common,,8.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Cadet Belt,,,,Common,,7.0,6.0,,,,,,,,
3.0,3.0,,3.0,,,,,25.0,,,,3.0,,,Fickle Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,3.0,,,,,25.0,,,,3.0,,,Pigman Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,25.0,,,,3.0,,,Fickle Cord,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,7.0,,,,,25.0,,,,3.0,,,Girdle of Common Causes,,,,Uncommon,,,6.0,,,,,4.0,3.0,3.0,
,,,4.0,,,,,25.0,,,,,,,Royal Frostmane Girdle,,,,Common,,6.0,6.0,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,2.0,,,Diver's Cord,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,4.0,,,,,25.0,,,,,,,Interlocked Chain Cinch,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Battered Leather Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Water-Stained Leather Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Belt of Brill,,,,Common,,,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Links of Grieving,,,,Common,,1.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Rotor Chain,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,25.0,,,,,,,Cinch of Grieving,,,,Common,,1.0,6.0,,,,,,,,
,,,1.0,,,,,25.0,,,,,,,Patchwork Belt,,,,Poor,,3.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Lovingly Embroidered Belt,,,,Common,,,6.0,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,2.0,,,Imbued Primal Belt,,,,Uncommon,,3.0,6.0,,,,,,,,
,,,1.0,,,,,25.0,,,,,,,Spy Choker Cord,,,,Common,,,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Fine Crocolisk Scale Belt,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,25.0,,,,,,,Crowley's Belt,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Repairman's Cinch,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,25.0,,,,,,,Gold Dust Belt,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Thwarter's Belt,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Rusty Chain Belt,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Wyrm Sash,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Zuni's Family Heirloom,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Web Covered Mail Belt,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Grik'nir's Chilly Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Moraya's Belt,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Chaser's Belt,,,,Common,,,6.0,,,,,,,,
,,,8.0,,,,,35.0,,,,4.0,,,Segmented Girdle,,,,Uncommon,,,6.0,,,,,6.0,4.0,4.0,
4.0,4.0,,5.0,,,4.0,,40.0,,,,4.0,,,Belt of Absolute Allegiance,,,,Rare,,,6.0,,,,,6.0,,,
,,,8.0,,,,,30.0,,,,4.0,,,Fractured Belt,,,,Uncommon,,,6.0,,,,,6.0,4.0,4.0,
4.0,4.0,,4.0,,,5.0,,30.0,,,,4.0,,,Marauding Belt,,,,Uncommon,,,6.0,,,,,6.0,,,
,,,8.0,,,,,30.0,,,,3.0,,,Wrenchmen Belt,,,,Uncommon,,,6.0,,,,,5.0,3.0,3.0,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Godfrey's Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Vyrin's Waistband,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Lupine Cord,,,,Uncommon,,10.0,6.0,,,,,5.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Vyrin's Belt,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Wildwood Chain Links,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,3.0,,,,,30.0,,,,,,,Ceremonial Leather Belt,,,,Common,,9.0,6.0,,,,,,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Belt of the Forgotten Pool,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,3.0,,,,,30.0,,,,,,,Hunting Belt,,,,Common,,8.0,6.0,,,,,,,,
3.0,3.0,,3.0,,,,,30.0,,,,3.0,,,Sea Dog Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,30.0,,,,3.0,,,Belt of Explosive Potential,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,,,,Native Sash,,,,Common,,7.0,6.0,,,,,,,,
3.0,3.0,,4.0,,,,,25.0,,,,3.0,,,Fickle Cord,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,6.0,,,,,25.0,,,,,,,Blackened Plate Girdle,,,,Common,,,6.0,,,,,,,,
2.0,2.0,,4.0,,,,,25.0,,,,2.0,,,Diver's Waistband,,,,Uncommon,,,6.0,,,,,3.0,,,
2.0,2.0,,3.0,,,,,25.0,,,,2.0,,,Siege Engineer's Belt,,,,Uncommon,,,6.0,,,,,3.0,,,
2.0,2.0,,3.0,,,,,25.0,,,,2.0,,,Cord of Tragic Memory,,,,Uncommon,,,6.0,,,,,3.0,,,
2.0,2.0,,4.0,,,,,25.0,,,,2.0,,,Siege Engineer's Waistband,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,3.0,,,,,25.0,,,,,,,Ratty Old Belt,,,,Common,,5.0,6.0,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,2.0,,,Fine Leather Sash,,,,Uncommon,,,6.0,,,,,3.0,,,
2.0,2.0,,4.0,,,,,25.0,,,,2.0,,,Padded Chain Belt,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,,,Knitted Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Recovered Knit Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,6.0,,,,,25.0,,,,,,,Thornroot Cord,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Frostmane Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Gyrochoppa Seat Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Animal Skin Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Gritroot Belt,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,25.0,,,,,,,Belt of the Prairie Wolf,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,25.0,,,,,,,Banana Holder,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Cog Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Unmarred Waistband,,,,Common,,1.0,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Salvaged Leather Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Old Leather Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Boar Hide Belt,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Cord of Accomplishment,,,,Common,,,6.0,,,,,,,,
4.0,4.0,,4.0,,,,,30.0,,,,4.0,,,Torn Fur Belt,,,,Uncommon,,,6.0,,,,,6.0,,,
4.0,4.0,,5.0,,,,,30.0,,,,4.0,,,Jadefire Squelcher Cord,,,,Uncommon,,,6.0,,,,,6.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Accomodating Cinch,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Godfrey's Waistband,,,,Uncommon,,,6.0,,,,,5.0,,,
,,,7.0,,,,,30.0,,,,3.0,,,Kessel's Sturdy Riding Handle,,,,Uncommon,,,6.0,,,,,5.0,3.0,3.0,
,,,2.0,,,,,30.0,,,,,,,Rat Cloth Belt,,,,Uncommon,,10.0,6.0,,,,,5.0,,,4.0
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Kessel's Elekk Leading Chain,,,,Uncommon,,,6.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,3.0,,,Cord of the Forgotten Pool,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,3.0,,,,,25.0,,,,3.0,,,Fickle Belt,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,3.0,,,,,25.0,,,,3.0,,,Belt of the Valley of Kings,,,,Uncommon,,,6.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,25.0,,,,3.0,,,Waistguard of the Valley of Kings,,,,Uncommon,,,6.0,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,2.0,,,Aggra's Sash,,,,Uncommon,,,6.0,,,,,3.0,,,
2.0,2.0,,4.0,,,,,25.0,,,,2.0,,,Waistband of Tragic Memory,,,,Uncommon,,,6.0,,,,,3.0,,,
2.0,2.0,,4.0,,,,,25.0,,,,2.0,,,Rescue Ladder Waistband,,,,Uncommon,,,6.0,,,,,3.0,,,
,,,3.0,,,,,25.0,,,,,,,Rough Leather Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Salvaged Chain Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,Light Mail Belt,,,,Common,,5.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Journeyman's Belt,,,,Common,,4.0,6.0,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,Burnt Leather Belt,,,,Common,,4.0,6.0,,,,,,,,
