agi,agiint,arcres,armor,avoidance,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdatkpwr,slotbak,socket1,socket2,speed,sta,str,strint,versatility
,,,238.0,,,,84.0,,,,,,134.0,,Frozen Steel Vambraces,,,,Epic,10.0,,9.0,,,,200.0,134.0,134.0,34.0
134.0,134.0,,109.0,,,,,,,,,44.0,134.0,,Yeti Hide Bracers,,,,Epic,10.0,,9.0,,,,200.0,,,74.0
,,,2.0,,,,,,25.0,,,,,,Cougar Pelt Wristwraps,,,,Common,,,9.0,,,,,,,
1.0,1.0,,2.0,,,,,,25.0,,,,1.0,,Best. Bracers. Ever.,,,,Uncommon,,,9.0,,,,2.0,,,
3.0,3.0,,3.0,,,,,,30.0,,,,3.0,,Juicy Bracers,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,3.0,,,,3.0,,35.0,,,,3.0,,Uninsured Bracers,,,,Rare,,,9.0,,,,4.0,,,
,,,3.0,,,,,,30.0,,,,,,Veteran Bracers,,,,Common,8.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Barbaric Cloth Bracers,,,,Common,7.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Disciple's Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,2.0,,,,,,30.0,,,,,,Hunting Bracers,,,,Common,9.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,2.0,,Dastardly Bracers,,,,Uncommon,,,9.0,,,,2.0,,,3.0
,,,3.0,,,,,,25.0,,,,,,Warrior's Bracers,,,,Common,4.0,,9.0,,,,,,,
,,,5.0,,,,,,25.0,,,,2.0,,Naga Plate Bracers,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Moonstalker Wristwraps,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,2.0,,Courier's Wraps,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,,,Ghostly Bracers,,,,Common,3.0,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Borderlands Bracers,,,,Common,,,9.0,,,,,,,
3.0,3.0,,3.0,,,,,,35.0,,,,3.0,,Bracers of the Ancient Grove,,,,Rare,,,9.0,,,,4.0,,,
2.0,2.0,,2.0,,,,,,30.0,,,,2.0,,Jessera's Fungus Lined Bands,,,,Uncommon,,,9.0,,,,3.0,,,
,,,1.0,,,,,,25.0,,,,,,Green Linen Bracers,,,,Uncommon,7.0,,9.0,,,,2.0,,,
,,,5.0,,,,,,25.0,,,,2.0,,Nubly Bracers,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,5.0,,,,,,25.0,,,,,,Brass-Studded Bracers,,,,Common,,,9.0,,,,,,,
,,,5.0,,,,,,25.0,,,,2.0,,Braided Gossamer Armbands,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,5.0,,,,,,25.0,,,,2.0,,Oystein Bracers,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,1.0,,,,,,25.0,,,,,,Imbued Disciple's Bracers,,,,Uncommon,5.0,,9.0,,,,3.0,,,
,,,5.0,,,,,,25.0,,,,2.0,,Studded Arm Protector,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,5.0,,,,,,25.0,,,,2.0,,Museum Guard's Bracers,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,2.0,,,,,,20.0,,,,,,Whitebeard's Bracer,,,,Common,,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,30.0,,,,2.0,,Bard's Bracers,,,,Uncommon,10.0,,9.0,,,,3.0,,,
2.0,2.0,,2.0,,,,4.0,,30.0,,,,2.0,,Worn Defias Bracers,,,,Uncommon,,,9.0,,,,3.0,,,
,,,5.0,,,,,,30.0,,,,2.0,,Jessera's Fungus Lined Bracers,,,,Uncommon,,,9.0,,,,3.0,2.0,2.0,
,,,5.0,,,,,,25.0,,,,2.0,,Rugelfuss Bracers,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,1.0,,,,,,25.0,,,,,,Calico Bracers,,,,Poor,7.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Gypsy Bands,,,,Common,7.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Cowlen's Bracers of Kinship,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,,,Patchwork Bracers,,,,Poor,4.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Beaded Cuffs,,,,Common,3.0,,9.0,,,,,,,
1.0,1.0,,3.0,,,,,,25.0,,,,1.0,,Fryer Gloves,,,,Uncommon,,,9.0,,,,2.0,,,
,,,4.0,,,,,,25.0,,,,,,Rainwalker's Bracer,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Grik'nir's Warming Bands,,,,Common,,,9.0,,,,,,,
,,,6.0,,,,,,30.0,,,,3.0,,Sentry Bracers,,,,Uncommon,,,9.0,,,,4.0,3.0,3.0,
,,,2.0,,,,,,30.0,,,,3.0,,Mage Bracers,,,,Uncommon,,,9.0,,,,4.0,,,
2.0,2.0,,2.0,,,,,,30.0,,,,2.0,,Thrall's Gift,,,,Rare,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,2.0,,Sober Pup Wristbands,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Battered Leather Bracers,,,,Common,5.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Steel Reinforced Bracer,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,,,Woven Bracers,,,,Common,5.0,,9.0,,,,,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Stonehallow's Arm Bands,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Pioneer Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Burnt Leather Bracers,,,,Common,3.0,,9.0,,,,,,,
,,,2.0,,,,,,30.0,,,,3.0,,Supple Cotton Bracer,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,3.0,,,,,,30.0,,,,3.0,,Bracers of the Million Gold Man,,,,Uncommon,,,9.0,,,,4.0,,,
,,,2.0,,,,,,30.0,,,3.0,3.0,,Hovel Digger Bands,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,4.0,,,,2.0,,30.0,,,,3.0,,Ancient Armbands,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,3.0,,,,2.0,,30.0,,,,3.0,,Ancient Cuffs,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,4.0,,,,,,30.0,,,,3.0,,Murderous Cuffs,,,,Uncommon,,,9.0,,,,4.0,,,
